,Unnamed: 0,Query,Action
673,673,i like to know the minutiae for accommodation,show_accomodation
674,674,i like to know the details for compromise,show_accomodation
675,675,i like to know the details for reconciliation,show_accomodation
676,676,accurate information regarding accommodation,show_accomodation
677,677,complicated information regarding accommodation,show_accomodation
678,678,comprehensive information regarding accommodation,show_accomodation
679,679,definite information regarding accommodation,show_accomodation
680,680,detailed advice regarding accommodation,show_accomodation
681,681,detailed clue regarding accommodation,show_accomodation
682,682,detailed data regarding accommodation,show_accomodation
683,683,detailed info regarding accommodation,show_accomodation
684,684,detailed information regarding compromise,show_accomodation
685,685,detailed information regarding reconciliation,show_accomodation
686,686,will you be booking admission for us if we pay that money,show_accomodation_price
687,687,will you be booking card for us if we pay that money,show_accomodation_price
688,688,will you be booking certificate for us if we pay that money,show_accomodation_price
689,689,will you be booking check for us if we pay that money,show_accomodation_price
690,690,will compromise be arranged for participants,show_accomodation
691,691,will reconciliation be arranged for participants,show_accomodation
692,692,will accommodation be file for participants,show_accomodation
693,693,will accommodation be form for participants,show_accomodation
694,694,will accommodation be organize for participants,show_accomodation
695,695,will accommodation be arranged for colleague,show_accomodation
696,696,will accommodation be arranged for member,show_accomodation
697,697,will accommodation be arranged for partner,show_accomodation
698,698,will accommodation be arranged for party,show_accomodation
699,699,do we pay for our own compromise how much would it cost,show_accomodation_price
700,700,do we pay for our own reconciliation how much would it cost,show_accomodation_price
701,701,is the compromise provided,show_accomodation
702,702,is the reconciliation provided,show_accomodation
703,703,is the accommodation add,show_accomodation
704,704,is the accommodation administer,show_accomodation
705,705,is the accommodation afford,show_accomodation
706,706,is the accommodation arrange,show_accomodation
707,707,whats the scene with compromise,show_accomodation
708,708,whats the scene with reconciliation,show_accomodation
709,709,are the meals going to be add along with accommodation,show_accomodation
710,710,are the meals going to be administer along with accommodation,show_accomodation
711,711,are the meals going to be afford along with accommodation,show_accomodation
712,712,are the meals going to be arrange along with accommodation,show_accomodation
713,713,are the meals going to be provided along with compromise,show_accomodation
714,714,are the meals going to be provided along with reconciliation,show_accomodation
715,715,is the compromise provided by you,show_accomodation
716,716,is the reconciliation provided by you,show_accomodation
717,717,is the accommodation add by you,show_accomodation
718,718,is the accommodation administer by you,show_accomodation
719,719,is the accommodation afford by you,show_accomodation
720,720,is the accommodation arrange by you,show_accomodation
721,721,can i have the minutiae of the stay,show_accomodation_address
722,722,is the appreciative food given,show_food_arrangements
723,723,is the congratulatory food given,show_food_arrangements
724,724,is the polite food given,show_food_arrangements
725,725,is the respectful food given,show_food_arrangements
726,726,is warm water accessible,show_accomodation
727,727,is warm water applicable,show_accomodation
728,728,is warm water convenient,show_accomodation
729,729,is warm water feasible,show_accomodation
730,730,is ac accessible,show_accomodation
731,731,is ac applicable,show_accomodation
732,732,is ac convenient,show_accomodation
733,733,is ac feasible,show_accomodation
734,734,any account of the rooms,show_accomodation
735,735,any art of the rooms,show_accomodation
736,736,any cartoon of the rooms,show_accomodation
737,737,any copy of the rooms,show_accomodation
738,738,any competitive acco available,show_accomodation
739,739,any economical acco available,show_accomodation
740,740,any acco available,show_accomodation
741,741,any acco available,show_accomodation
742,742,any cheaper acco accessible,show_accomodation
743,743,any cheaper acco applicable,show_accomodation
744,744,any cheaper acco convenient,show_accomodation
745,745,any cheaper acco feasible,show_accomodation
746,746,will i get allowance on registrations,get_discounts
747,747,will i get concession on registrations,get_discounts
748,748,will i get decrease on registrations,get_discounts
749,749,will i get deduction on registrations,get_discounts
750,750,will i get discounts on booking,get_discounts
751,751,will i get discounts on certification,get_discounts
752,752,will i get discounts on enrollment,get_discounts
753,753,will i get discounts on filing,get_discounts
754,754,what is the accident,get_event_fees
755,755,what is the blow,get_event_fees
756,756,what is the bruise,get_event_fees
757,757,what is the casualty,get_event_fees
758,758,what is the action for refund,is_refundable
759,759,what is the case for refund,is_refundable
760,760,what is the course for refund,is_refundable
761,761,what is the development for refund,is_refundable
762,762,what is the process for allowance,is_refundable
763,763,what is the process for compensation,is_refundable
764,764,what is the process for discount,is_refundable
765,765,what is the process for kickback,is_refundable
766,766,what are the accolade,get_prizes
767,767,what are the advantage,get_prizes
768,768,what are the bonus,get_prizes
769,769,what are the bounty,get_prizes
770,770,where will the caller stay,show_accomodation
771,771,where will the client stay,show_accomodation
772,772,where will the companion stay,show_accomodation
773,773,where will the customer stay,show_accomodation
774,774,wheresthe artistic night at,get_location
775,775,wheresthe developmental night at,get_location
776,776,when is the last date to registry,get_registration_date
777,777,when is the last date to roster,get_registration_date
778,778,by when can i registry,get_registration_date
779,779,by when can i roster,get_registration_date
780,780,will i get bodice,get_prizes
781,781,will i get pullover,get_prizes
782,782,will i get turtleneck,get_prizes
783,783,what are the hostel available,show_accomodation_address
784,784,what are the house available,show_accomodation_address
785,785,what are the inn available,show_accomodation_address
786,786,what are the lodging available,show_accomodation_address
787,787,what are the hotels accessible,show_accomodation_address
788,788,what are the hotels applicable,show_accomodation_address
789,789,what are the hotels convenient,show_accomodation_address
790,790,what are the hotels feasible,show_accomodation_address
791,791,are the speakers accomplished,show_speakers
792,792,are the speakers adequate,show_speakers
793,793,are the speakers capable,show_speakers
794,794,are the speakers certified,show_speakers
795,795,any early bird action,get_discounts
796,796,any early bird attempt,get_discounts
797,797,any early bird bid,get_discounts
798,798,any early bird overture,get_discounts
803,803,will i get company,get_prizes
804,804,will i get design,get_prizes
805,805,will i get logo,get_prizes
806,806,will i get number,get_prizes
807,807,how many accolade are there,get_prizes
808,808,how many advantage are there,get_prizes
809,809,how many bonus are there,get_prizes
810,810,how many bounty are there,get_prizes
811,811,tell me where the event is accident,get_location
812,812,tell me where the event is adventure,get_location
813,813,tell me where the event is circumstance,get_location
814,814,tell me where the event is incident,get_location
815,815,are the figure of delegate positions limited,get_registration_date
816,816,are the statistic of delegate positions limited,get_registration_date
817,817,are the sum of delegate positions limited,get_registration_date
818,818,are the total of delegate positions limited,get_registration_date
819,819,are the number of commissioner positions limited,get_registration_date
820,820,are the number of deputy positions limited,get_registration_date
821,821,are the number of envoy positions limited,get_registration_date
822,822,are the number of member positions limited,get_registration_date
823,823,are the number of delegate area limited,get_registration_date
824,824,are the number of delegate environment limited,get_registration_date
825,825,are the number of delegate location limited,get_registration_date
826,826,are the number of delegate point limited,get_registration_date
827,827,are the number of delegate positions defined,get_registration_date
828,828,are the number of delegate positions finite,get_registration_date
829,829,are the number of delegate positions narrow,get_registration_date
832,832,can i see the agenda,show_schedule
833,833,can i see the calendar,show_schedule
834,834,can i see the chart,show_schedule
835,835,can i see the itinerary,show_schedule
836,836,i want to know what the accolade are,get_prizes
837,837,i want to know what the advantage are,get_prizes
838,838,i want to know what the bonus are,get_prizes
839,839,i want to know what the bounty are,get_prizes
840,840,let me know about the accolade,get_prizes
841,841,let me know about the citation,get_prizes
842,842,let me know about the decision,get_prizes
843,843,let me know about the donation,get_prizes
844,844,tell me when the event is birth,get_event_date
845,845,tell me when the event is creation,get_event_date
846,846,tell me when the event is dawn,get_event_date
847,847,tell me when the event is inauguration,get_event_date
848,848,when does deep culture start,get_registration_date
849,849,when does deep information start,get_registration_date
850,850,when does deep literature start,get_registration_date
851,851,when does deep research start,get_registration_date
852,852,where is this accident,get_location
853,853,where is this adventure,get_location
854,854,where is this circumstance,get_location
855,855,where is this incident,get_location
856,856,what are the conditions to get an allowance on the registration fees,get_discounts
857,857,what are the conditions to get an concession on the registration fees,get_discounts
858,858,what are the conditions to get an decrease on the registration fees,get_discounts
859,859,what are the conditions to get an deduction on the registration fees,get_discounts
860,860,what are the conditions to get a discount on the booking fees,get_discounts
861,861,what are the conditions to get a discount on the certification fees,get_discounts
862,862,what are the conditions to get a discount on the enrollment fees,get_discounts
863,863,what are the conditions to get a discount on the filing fees,get_discounts
864,864,what is the prze circulation,get_prizes
865,865,what is the prze delivery,get_prizes
866,866,what is the prze disposal,get_prizes
867,867,what is the prze dissemination,get_prizes
875,875,how much money should i pay to show up this,get_event_fees
876,876,how much money should i pay to visit this,get_event_fees
877,877,how much would it cost me to show up this event,get_event_fees
878,878,how much would it cost me to visit this event,get_event_fees
879,879,if i am not accessible on those dates later will i get my money back,is_refundable
880,880,if i am not applicable on those dates later will i get my money back,is_refundable
881,881,if i am not convenient on those dates later will i get my money back,is_refundable
882,882,if i am not feasible on those dates later will i get my money back,is_refundable
883,883,can i get my money back if i agree to cancel later,is_refundable
884,884,can i get my money back if i choose to cancel later,is_refundable
885,885,can i get my money back if i conclude to cancel later,is_refundable
886,886,can i get my money back if i determine to cancel later,is_refundable
887,887,can i get my money back if i decide to abolish later,is_refundable
888,888,can i get my money back if i decide to abort later,is_refundable
889,889,can i get my money back if i decide to annul later,is_refundable
890,890,can i get my money back if i decide to break off later,is_refundable
891,891,will i get refunded if i abolish later,is_refundable
892,892,will i get refunded if i abort later,is_refundable
893,893,will i get refunded if i annul later,is_refundable
894,894,will i get refunded if i break off later,is_refundable
895,895,if i accept to drop out later will i get my money back,is_refundable
896,896,if i adopt to drop out later will i get my money back,is_refundable
897,897,if i appoint to drop out later will i get my money back,is_refundable
898,898,if i cast to drop out later will i get my money back,is_refundable
899,899,are there any allowance i can avail on the registration fee,get_discounts
900,900,are there any concession i can avail on the registration fee,get_discounts
901,901,are there any decrease i can avail on the registration fee,get_discounts
902,902,are there any deduction i can avail on the registration fee,get_discounts
903,903,are there any discounts i can avail on the booking fee,get_discounts
904,904,are there any discounts i can avail on the certification fee,get_discounts
905,905,are there any discounts i can avail on the enrollment fee,get_discounts
906,906,are there any discounts i can avail on the filing fee,get_discounts
907,907,any allowance available,get_discounts
908,908,any concession available,get_discounts
909,909,any decrease available,get_discounts
910,910,any deduction available,get_discounts
911,911,any discounts accessible,get_discounts
912,912,any discounts applicable,get_discounts
913,913,any discounts convenient,get_discounts
914,914,any discounts feasible,get_discounts
915,915,are there any types of fee contraction we can avail,get_discounts
916,916,are there any types of fee cut we can avail,get_discounts
917,917,are there any types of fee cutback we can avail,get_discounts
918,918,are there any types of fee devaluation we can avail,get_discounts
919,919,can i abolish and expect a refund,is_refundable
920,920,can i abort and expect a refund,is_refundable
921,921,can i annul and expect a refund,is_refundable
922,922,can i break off and expect a refund,is_refundable
923,923,can i cancel and await a refund,is_refundable
924,924,can i cancel and forecast a refund,is_refundable
925,925,can i cancel and foresee a refund,is_refundable
926,926,can i cancel and hope a refund,is_refundable
927,927,can i cancel and expect an allowance,is_refundable
928,928,can i cancel and expect an compensation,is_refundable
929,929,can i cancel and expect an discount,is_refundable
930,930,can i cancel and expect an kickback,is_refundable
931,931,are there any allowance applicable for this event,get_discounts
932,932,are there any concession applicable for this event,get_discounts
933,933,are there any decrease applicable for this event,get_discounts
934,934,are there any deduction applicable for this event,get_discounts
935,935,are there any discounts germane for this event,get_discounts
936,936,are there any discounts pertinent for this event,get_discounts
937,937,are there any discounts relevant for this event,get_discounts
938,938,are there any discounts suitable for this event,get_discounts
939,939,i want to abolish my delegation,is_refundable
940,940,i want to abort my delegation,is_refundable
941,941,i want to annul my delegation,is_refundable
942,942,i want to break off my delegation,is_refundable
943,943,what are the last dates for booking,get_registration_date
944,944,what are the last dates for certification,get_registration_date
945,945,what are the last dates for enrollment,get_registration_date
946,946,what are the last dates for filing,get_registration_date
947,947,when do booking begin,get_registration_date
948,948,when do certification begin,get_registration_date
949,949,when do enrollment begin,get_registration_date
950,950,when do filing begin,get_registration_date
951,951,are there any accolade for this,get_prizes
952,952,are there any advantage for this,get_prizes
953,953,are there any bonus for this,get_prizes
954,954,are there any bounty for this,get_prizes
955,955,what is my harbor,get_location
956,956,what is my haven,get_location
957,957,what is my station,get_location
958,958,what is my stop,get_location
959,959,how far is my harbor,get_distance
960,960,how far is my haven,get_distance
961,961,how far is my station,get_distance
962,962,how far is my stop,get_distance
963,963,will i get my money back if i abolish,is_refundable
964,964,will i get my money back if i abort,is_refundable
965,965,will i get my money back if i annul,is_refundable
966,966,will i get my money back if i break off,is_refundable
967,967,it too pricey is there anything i could do to reduce the amount,get_discounts
968,968,it too valuable is there anything i could do to reduce the amount,get_discounts
969,969,it too costly is there all i could do to reduce the amount,get_discounts
970,970,it too costly is there everything i could do to reduce the amount,get_discounts
971,971,it too costly is there anything i could do to curtail the amount,get_discounts
972,972,it too costly is there anything i could do to cut the amount,get_discounts
973,973,it too costly is there anything i could do to cut down the amount,get_discounts
974,974,it too costly is there anything i could do to diminish the amount,get_discounts
975,975,it too costly is there anything i could do to reduce the bulk,get_discounts
976,976,it too costly is there anything i could do to reduce the chunk,get_discounts
977,977,it too costly is there anything i could do to reduce the extent,get_discounts
978,978,it too costly is there anything i could do to reduce the load,get_discounts
979,979,when is the last date for booking,get_registration_date
980,980,when is the last date for certification,get_registration_date
981,981,when is the last date for enrollment,get_registration_date
982,982,when is the last date for filing,get_registration_date
983,983,will i win all,get_prizes
984,984,will i win everything,get_prizes
985,985,can i stay at my hotel,show_accomodation
986,986,can i stay at my inn,show_accomodation
987,987,can i boost my network,show_speakers
988,988,can i development my network,show_speakers
989,989,can i escalation my network,show_speakers
990,990,can i expansion my network,show_speakers
991,991,can i increase my chain,show_speakers
992,992,can i increase my grid,show_speakers
993,993,can i increase my net,show_speakers
994,994,can i increase my organization,show_speakers
995,995,what if i get eager,show_food_arrangements
996,996,what if i get greedy,show_food_arrangements
997,997,what if i get keen,show_food_arrangements
998,998,what if i get ravenous,show_food_arrangements
999,999,can i get some allowance for the conference,get_discounts
1000,1000,can i get some concession for the conference,get_discounts
1001,1001,can i get some decrease for the conference,get_discounts
1002,1002,can i get some deduction for the conference,get_discounts
1003,1003,can i get some discounts for the consultation,get_discounts
1004,1004,can i get some discounts for the discussion,get_discounts
1005,1005,can i get some discounts for the forum,get_discounts
1006,1006,can i get some discounts for the interview,get_discounts
1007,1007,what are some of the benefit where i can stay around,show_accomodation
1008,1008,what are some of the choice where i can stay around,show_accomodation
1009,1009,what are some of the opportunity where i can stay around,show_accomodation
1010,1010,what are some of the preference where i can stay around,show_accomodation
1011,1011,what are some of the options where i can stay about,show_accomodation
1012,1012,what are some of the options where i can stay everywhere,show_accomodation
1013,1013,what are some of the options where i can stay over,show_accomodation
1014,1014,what are some apartment to stay,show_accomodation
1015,1015,what are some area to stay,show_accomodation
1016,1016,what are some berth to stay,show_accomodation
1017,1017,what are some city to stay,show_accomodation
1018,1018,can i get an allowance,is_refundable
1019,1019,can i get an compensation,is_refundable
1020,1020,can i get an discount,is_refundable
1021,1021,can i get an kickback,is_refundable
1022,1022,show some apartment to eat around,show_food_arrangements
1023,1023,show some area to eat around,show_food_arrangements
1024,1024,show some berth to eat around,show_food_arrangements
1025,1025,show some city to eat around,show_food_arrangements
1026,1026,show some places to eat about,show_food_arrangements
1027,1027,show some places to eat everywhere,show_food_arrangements
1028,1028,show some places to eat over,show_food_arrangements
1029,1029,i am eager,show_food_arrangements
1030,1030,i am greedy,show_food_arrangements
1031,1031,i am keen,show_food_arrangements
1032,1032,i am ravenous,show_food_arrangements
1033,1033,best apartment to get food,show_food_arrangements
1034,1034,best area to get food,show_food_arrangements
1035,1035,best berth to get food,show_food_arrangements
1036,1036,best city to get food,show_food_arrangements
1037,1037,can i pay insignificant,get_discounts
1038,1038,can i pay minor,get_discounts
1039,1039,how am i alleged to pay for this,get_payment_method
1040,1040,how am i apparent to pay for this,get_payment_method
1041,1041,how am i presumed to pay for this,get_payment_method
1042,1042,how am i purported to pay for this,get_payment_method
1043,1043,area of the venue,get_location
1044,1044,district of the venue,get_location
1045,1045,locale of the venue,get_location
1046,1046,neighborhood of the venue,get_location
1047,1047,booking fee,get_event_fees
1048,1048,certification fee,get_event_fees
1049,1049,enrollment fee,get_event_fees
1050,1050,filing fee,get_event_fees
1051,1051,where is vellore absolutely,get_location
1052,1052,where is vellore altogether,get_location
1053,1053,where is vellore carefully,get_location
1054,1054,where is vellore completely,get_location
1055,1055,what is the total bulk i need to pay,get_event_fees
1056,1056,what is the total chunk i need to pay,get_event_fees
1057,1057,what is the total extent i need to pay,get_event_fees
1058,1058,what is the total load i need to pay,get_event_fees
1059,1059,how much bulk of the registration fees will be refunded,is_refundable
1060,1060,how much chunk of the registration fees will be refunded,is_refundable
1061,1061,how much extent of the registration fees will be refunded,is_refundable
1062,1062,how much load of the registration fees will be refunded,is_refundable
1063,1063,how much amount of the booking fees will be refunded,is_refundable
1064,1064,how much amount of the certification fees will be refunded,is_refundable
1065,1065,how much amount of the enrollment fees will be refunded,is_refundable
1066,1066,how much amount of the filing fees will be refunded,is_refundable
1067,1067,are there any allowance codes,get_discounts
1068,1068,are there any concession codes,get_discounts
1069,1069,are there any decrease codes,get_discounts
1070,1070,are there any deduction codes,get_discounts
1071,1071,any allowance coupons,get_discounts
1072,1072,any concession coupons,get_discounts
1073,1073,any decrease coupons,get_discounts
1074,1074,any deduction coupons,get_discounts
1075,1075,any discount advertisement,get_discounts
1076,1076,any discount card,get_discounts
1077,1077,any discount certificate,get_discounts
1078,1078,any discount voucher,get_discounts
1079,1079,what is the accolade for place,get_prizes
1080,1080,what is the award for place,get_prizes
1081,1081,what is the benefit for place,get_prizes
1082,1082,what is the bonus for place,get_prizes
1083,1083,will i be add accommodation,show_accomodation
1084,1084,will i be administer accommodation,show_accomodation
1085,1085,will i be afford accommodation,show_accomodation
1086,1086,will i be arrange accommodation,show_accomodation
1087,1087,will i be provided compromise,show_accomodation
1088,1088,will i be provided reconciliation,show_accomodation
1089,1089,can i get more minutiae of the event,speaker_details_extra
1090,1090,what will be add for lunch,show_food_arrangements
1091,1091,what will be administer for lunch,show_food_arrangements
1092,1092,what will be afford for lunch,show_food_arrangements
1093,1093,what will be arrange for lunch,show_food_arrangements
1094,1094,how much for banquet,show_food_cost
1095,1095,how much for feast,show_food_cost
1096,1096,how much for supper,show_food_cost
1097,1097,at what time will lunch be served,show_schedule
1098,1098,at what time will morsel be served,show_schedule
1099,1099,at what time will refreshment be served,show_schedule
1100,1100,at what time will tea be served,show_schedule
1101,1101,do i get compromise if i join itc,show_accomodation
1102,1102,do i get reconciliation if i join itc,show_accomodation
1103,1103,why is chant so chocolaty,Others
1104,1104,why is inflection so chocolaty,Others
1105,1105,why is lyric so chocolaty,Others
1106,1106,why is music so chocolaty,Others
1107,1107,who is the first body to walk on the moon,Others
1108,1108,who is the first character to walk on the moon,Others
1109,1109,who is the first customer to walk on the moon,Others
1110,1110,who is the first guy to walk on the moon,Others
1111,1111,how to come a fortnite pro,Others
1112,1112,how to develop into a fortnite pro,Others
1113,1113,how to grow into a fortnite pro,Others
1114,1114,how to turn into a fortnite pro,Others
1115,1115,who assassinate jfk,Others
1116,1116,who drown jfk,Others
1117,1117,who execute jfk,Others
1118,1118,who get jfk,Others
1119,1119,who is in allegation,greet
1120,1120,who is in complaint,greet
1121,1121,who is in indictment,greet
1122,1122,whom can i association,show_contact_info
1123,1123,whom can i connection,show_contact_info
1124,1124,whom can i influence,show_contact_info
1125,1125,whom can i meeting,show_contact_info
1126,1126,what are you able of,about_chatbot
1127,1127,what are you accomplished of,about_chatbot
1128,1128,what are you adept of,about_chatbot
1129,1129,what are you adequate of,about_chatbot
1130,1130,what is your ambition,about_chatbot
1131,1131,what is your aspiration,about_chatbot
1132,1132,what is your desire,about_chatbot
1133,1133,what is your determination,about_chatbot
1134,1134,hello acquaintance,greet
1135,1135,hello ally,greet
1136,1136,hello associate,greet
1137,1137,hello buddy,greet
1138,1138,who was the president of the concerted states,Others
1139,1139,who was the president of the consolidated states,Others
1140,1140,who was the president of the cooperative states,Others
1141,1141,who was the president of the homogeneous states,Others
1142,1142,who was the president of the united case,Others
